sample_index,child_age_months,child_sex,mother_age,mother_education_level,mother_years_education,mother_currently_working,marital_status,religion,wealth_quintile,urban_rural,county,drinking_water_source,toilet_facility,has_electricity,cooking_fuel,household_members,predicted_probability,actual_label
55,0.18426274,0.10504231,0.09464991,-0.090093255,-0.62646586,0.06642212,0.008634626,0.00455686,-0.4294855,-0.03446137,-0.78499854,-0.011105204,0.21297863,-0.021087991,-0.11168709,-0.022514375,0.18985395,0
209,0.07367463,0.14493321,-0.1811046,-0.10127259,-0.13716638,-0.07105199,0.08869173,-0.0026161852,0.2292909,0.019579047,0.002951489,0.08676286,-0.0029429947,0.058825374,0.009418835,0.21777345,0.6082921,1
338,-0.039871886,0.07738656,0.18475258,0.018093169,0.11288596,0.09015972,0.013440842,0.16306192,-0.58347577,-0.009404473,0.2879586,-0.09557217,0.09471929,-0.036478978,-0.114956446,0.032183744,0.5496545,0
174,-0.02376787,-0.08667669,-0.31988165,-0.00273815,0.010519421,-0.07873608,0.0032095178,0.04342141,0.04812449,0.014939323,0.5002442,0.17261337,0.019934526,0.047182858,0.031032596,-0.045057844,0.58388823,1
350,0.36298847,0.07149613,0.02621009,-0.18183585,-0.4511101,-0.021197695,0.013073177,0.00985864,-0.5439995,0.0032992433,-0.26599988,-0.10538712,-0.098124206,-0.053638443,0.030217018,-0.19047791,0.19937015,1
76,-0.90490824,0.059343997,-0.029953575,0.04174294,0.5420845,0.06737361,0.004687053,0.045482133,0.17815843,0.0019359145,0.5210337,0.12013915,-0.12557946,-0.002998503,0.038508743,-0.06770682,0.620986,0
2,0.17843339,-0.09823454,0.24234872,0.012900332,-0.20013644,-0.06989956,0.003916297,-0.065554574,-0.33965823,0.012379089,0.33090794,-0.08513431,-0.11312305,-0.053363334,0.016190844,-0.07584964,0.42568335,1
548,0.10162406,0.14189841,0.11579691,0.044859968,0.49516946,0.095902584,-0.0686803,0.020333152,0.18049198,-0.06827665,0.5774654,0.04766493,-0.03736604,0.061570846,0.029854015,0.09688178,0.8628993,1
109,-0.435237,-0.1034014,0.15642582,-0.09270132,-0.24965706,-0.03412124,0.014084901,0.049858008,-0.6499947,-0.033297177,-0.108698756,-0.15637122,0.11828249,-0.05967252,-0.06306301,0.0063453643,0.16289729,0
291,0.39599016,-0.13597955,0.0055540614,0.14804347,0.623287,0.047374386,0.009438274,-0.010711508,0.27407563,-0.009592583,-0.3738605,-0.0063894754,0.20388906,0.034489527,0.027019113,0.069723874,0.7869678,1
715,0.33154044,-0.071989805,0.25454208,0.21602608,0.99862754,0.063694395,0.25598195,0.0138801,0.35043794,0.018267406,0.61449736,0.24063879,0.1807414,0.058251496,0.031112831,0.028995048,0.9731333,1
311,-0.02828368,-0.17179929,-0.06558173,0.08243118,0.5148067,0.10051669,-0.0027082586,-0.036421817,0.17581682,0.011709128,-0.22168589,0.14760533,0.13124512,0.017005779,0.043226004,0.09201014,0.6887505,1
351,-0.34701285,-0.09812272,-0.018711038,0.12082043,0.56811947,0.0829731,0.32972243,0.027174618,0.17584994,0.0038619698,-0.17352842,-0.073804356,-0.10015895,0.007604335,0.050206386,0.00039660977,0.63640237,1
208,-0.20578434,0.15281165,0.016189825,-0.047200516,-0.15481304,0.071106516,0.011129545,0.003206571,-0.6354161,-0.036810398,0.174653,0.009533735,0.15734717,-0.050723255,0.2498591,0.12726492,0.46176144,0
357,-0.18326369,0.058876798,0.16133781,0.18120441,0.78953326,0.09069116,0.0056794346,0.014008854,0.25985846,0.012934417,-0.111132085,0.19620682,0.10744034,0.07328687,0.02883617,0.07395445,0.8536907,1
181,-0.0029677805,-0.094061546,-0.24885838,0.11771864,0.5044025,0.16818282,-0.004308478,0.03317201,0.1546722,0.011571654,-0.2612003,0.10041165,0.0736448,0.029212402,0.03524033,0.032580335,0.6578675,1
235,0.4207806,0.06378182,0.12834421,0.04437425,-0.10767044,0.09096497,0.021862585,0.12347148,-0.30584654,0.008225669,0.824943,-0.05246353,-0.076036334,-0.039355792,-0.042719178,-0.055113122,0.74114656,1
227,-0.099479504,-0.09252567,0.13615316,-0.10704973,-0.7728579,0.028208781,-0.08863716,0.029132685,-0.41469473,-0.03708775,-0.36487156,-0.06799168,-0.11946614,-0.08502021,-0.071679994,-0.06838175,0.100484155,0
657,-0.03004493,-0.08779185,0.009190053,-0.04186368,-0.10929795,-0.043577448,0.005869588,-0.060845055,0.28817087,0.016067503,-0.26935318,0.10685329,-0.11851662,0.06701321,0.042673975,0.004287336,0.44601807,0
118,0.3179288,0.135521,-0.014268548,-0.0072413627,-0.11707008,0.10811611,0.012250608,0.12919842,0.2557715,0.009586737,0.18235445,0.0047309073,0.059864506,-0.035444587,0.03239284,0.1642965,0.77597797,1
450,-0.5665085,-0.15382107,-0.17682032,-0.0022373165,0.11378879,0.09544259,0.0016620419,0.009608099,0.19559108,0.002047575,0.28599975,-0.19925152,-0.12464569,0.06277589,0.0015374564,-0.033765145,0.3812598,1
623,-0.33406293,-0.1444162,-0.1064148,0.0074183196,-0.054140896,-0.04243202,0.011993617,0.04742318,-0.2842461,-0.012041359,-0.24726146,0.07247519,-0.05490336,-0.0735611,-0.06844204,-0.028464064,0.21304232,1
90,0.48165825,0.076956,0.011349855,-0.008912097,-0.1825227,0.085057825,-0.0006220443,0.17609742,0.07347321,-0.009156391,0.5672918,0.12050014,-0.0046059564,0.05124399,-0.0060650418,-0.13588075,0.78587806,0
514,0.21434896,-0.09807316,-0.06447643,0.015874473,0.2510949,0.17009456,-0.1642577,0.14624716,-0.35773736,-0.011617304,-0.009246517,-0.16406718,-0.017370535,-0.06673297,0.03165521,-0.0025732652,0.4694269,1
327,-0.4807268,-0.075849265,0.07287591,-0.0072002197,-0.009077947,-0.089790486,-0.032579344,-0.04159488,0.20505244,0.020929886,0.08415108,-0.030045753,0.050598316,0.040139373,0.028858002,0.023527112,0.4411884,0
377,-0.053170394,-0.1004192,0.15477575,0.0038287295,-0.011534578,0.044952296,0.015736513,-0.010752659,-0.34759134,-0.01401226,-0.119119085,-0.06577662,-0.07450833,-0.06142895,-0.10760666,-0.04575457,0.31260058,1
60,0.49760348,0.09522782,-0.1543397,-0.03789169,-0.15952994,-0.08838298,0.0015716073,0.04828494,0.3697283,-0.0074308272,0.45882705,-0.07494178,0.13803644,-0.09517778,-0.0018223973,-0.017991878,0.72634625,1
579,0.45450562,-0.19692744,-0.108740166,-0.01506188,-0.22162925,0.030021548,-0.13474485,-0.062052824,0.09576387,0.0014417509,-0.22304828,0.09803236,-0.09436302,0.06320647,0.010784142,0.038375013,0.43535274,0
